episode,score,epsilon,budget,uncertainty
0,-21.0,0.9923900000000346,50000,2.176195788071139e-06
1,-20.0,0.9833600000000757,50000,5.778610019756403e-07
2,-21.0,0.9751200000001132,50000,1.7296723599378884e-06
3,-21.0,0.9672000000001493,50000,0.0026126055810958737
4,-19.0,0.9573900000001939,50000,0.011694041474000931
5,-20.0,0.9480900000002362,49999,0.021315399397875592
6,-20.0,0.9390400000002774,49999,0.025610233245234815
7,-20.0,0.9304200000003167,49986,0.034645075648871794
8,-20.0,0.9201800000003633,49965,0.040810018341971954
9,-21.0,0.9119800000004006,49931,0.0439525855106029
10,-21.0,0.9028200000004423,49809,0.06169915075188169
11,-20.0,0.8941100000004819,49643,0.06756356154460498
12,-19.0,0.8825700000005344,49298,0.08113370834328427
13,-19.0,0.8716100000005843,48888,0.09130759745620422
14,-19.0,0.860260000000636,48532,0.08339533815078339
15,-18.0,0.8465400000006984,48164,0.0813053885590877
16,-19.0,0.8337300000007567,47769,0.08496682568810222
17,-21.0,0.8240100000008009,47498,0.08209474782513095
18,-21.0,0.814100000000846,47279,0.0746271965670936
19,-20.0,0.802450000000899,47064,0.06873631011654699
20,-20.0,0.7926900000009435,46949,0.0635050171537737
21,-21.0,0.7838400000009837,46859,0.059509247043669895
22,-20.0,0.7738800000010291,46760,0.05927425172987832
23,-20.0,0.7646100000010713,46644,0.061003647480429246
24,-18.0,0.7531200000011236,46540,0.05711587350912801
25,-20.0,0.7430400000011694,46472,0.051055706547303424
26,-21.0,0.7345000000012083,46424,0.050304526087459375
27,-21.0,0.7253900000012498,46382,0.048033218885006224
28,-21.0,0.7169600000012881,46342,0.04574865886603492
29,-21.0,0.7081000000013284,46303,0.04821324008559014
30,-20.0,0.6988000000013708,46256,0.047506225401014894
31,-19.0,0.6887100000014167,46186,0.0502860351258887
32,-19.0,0.6777900000014664,46119,0.05001549109485642
33,-21.0,0.6688000000015073,46085,0.04577467313608169
34,-20.0,0.6586800000015534,46009,0.0494777069568796
35,-20.0,0.6478100000016028,45962,0.04503852016529841
36,-21.0,0.6360200000016565,45906,0.044679179776971806
37,-20.0,0.6257500000017032,45877,0.03864896582700711
38,-19.0,0.6139100000017571,45811,0.045905233186203986
39,-18.0,0.6016500000018129,45749,0.045441523215203235
40,-20.0,0.5891800000018697,45673,0.04711268607503865
41,-20.0,0.5758200000019305,45552,0.05040998133662725
42,-20.0,0.5629300000019891,45447,0.05180028632111252
43,-18.0,0.5500800000020476,45298,0.055796114928252157
44,-19.0,0.5346500000021178,45081,0.05916252999556838
45,-20.0,0.5238300000021671,44935,0.057704473119840206
46,-17.0,0.5085100000022368,44678,0.06330638278796101
47,-20.0,0.4962900000022718,44543,0.05629769968190543
48,-19.0,0.48045000000225596,44284,0.06076812925385464
49,-20.0,0.4680000000022435,44115,0.05815274486220984
50,-19.0,0.45523000000223074,43978,0.05308968032554912
51,-18.0,0.4416000000022171,43803,0.05615815636599389
52,-20.0,0.42934000000220485,43686,0.050942735865576946
53,-15.0,0.41156000000218707,43423,0.06235610159282668
