episode,score,epsilon,budget,uncertainty,epistemic,aleatoric
73,-11.0,0.05,46806,0.12115727671838399,0.07660096675963535,0.04455630995874863

74,-14.0,0.05,46699,0.11894924307941698,0.07324303969318886,0.04570620338622811

75,-17.0,0.05,46650,0.10877018502446366,0.06498912810169764,0.043781056922766015

76,-11.0,0.05,46552,0.10558479114411848,0.06276153266939381,0.042823258474724665

77,-9.0,0.05,46424,0.10968390955964397,0.06260793995831118,0.04707596960133278

78,-8.0,0.05,46336,0.1059784328062822,0.06005925802025278,0.04591917478602943

79,-12.0,0.05,46270,0.1004461233682251,0.05520965232688344,0.04523647104134166

80,-6.0,0.05,46162,0.10664730023534343,0.06091627922597323,0.04573102100937019

81,-2.0,0.05,46026,0.10595709857573896,0.0579647036916252,0.04799239488411376

82,-9.0,0.05,45861,0.10713534370513096,0.054640721591437236,0.052494622113693726

83,6.0,0.05,45750,0.10399511133231748,0.053984103551948374,0.05001100778036911

84,1.0,0.05,45611,0.1029656330718657,0.0495607319903309,0.0534049010815348

85,1.0,0.05,45472,0.10064016393197607,0.050413537525188304,0.05022662640678777

86,-7.0,0.05,45341,0.10138402824371208,0.04844362385974226,0.052940404383969825

87,9.0,0.05,45295,0.08860824213014785,0.043494455448875646,0.04511378668127221

88,7.0,0.05,45262,0.08292958162948863,0.038383150832705784,0.04454643079678284

89,9.0,0.05,45237,0.08141601248390941,0.04067332405221335,0.04074268843169605

90,7.0,0.05,45204,0.08275966312004301,0.03990913594987926,0.04285052717016375

91,2.0,0.05,45183,0.08098192725483583,0.04102984353100724,0.03995208372382859

92,11.0,0.05,45163,0.07930357885972379,0.041188623575157575,0.03811495528456622

93,2.0,0.05,45135,0.08056864837895912,0.03821678283982709,0.042351865539132026

94,3.0,0.05,45109,0.08146905945500145,0.039656518330442994,0.041812541124558456

95,2.0,0.05,45083,0.07638358262597214,0.03808976496559312,0.038293817660379016

96,2.0,0.05,45059,0.07105021713525347,0.03675232358328252,0.03429789355197095

97,4.0,0.05,45036,0.07123600722231443,0.03432355100835954,0.0369124562139549

98,9.0,0.05,45014,0.0694360300123653,0.031625612433649114,0.03781041757871619

99,6.0,0.05,44998,0.06568159754073885,0.029676244121296193,0.03600535341944265

100,10.0,0.05,44972,0.06565152194724191,0.027697824871445707,0.037953697075796204

101,9.0,0.05,44947,0.06635123641741095,0.0280749095876132,0.03827632682979775

102,5.0,0.05,44931,0.06323124413949419,0.027130584167679484,0.0361006599718147

103,7.0,0.05,44917,0.06420000935713703,0.02883881667830427,0.03536119267883277

104,12.0,0.05,44892,0.06329062807841011,0.02767086674880809,0.035619761329602026

105,9.0,0.05,44880,0.058210384505770256,0.026008655589556492,0.032201728916213763

106,12.0,0.05,44873,0.05843067535861402,0.023174339365378046,0.03525633599323597

107,11.0,0.05,44863,0.05453225553614057,0.022346493829372188,0.03218576170676839

108,15.0,0.05,44849,0.05611309274542951,0.02048435773628803,0.03562873500914148

109,16.0,0.05,44841,0.05282084984782689,0.019981552731276078,0.03283929711655081

110,11.0,0.05,44833,0.05250281933555606,0.02259520855385326,0.0299076107817028

111,8.0,0.05,44824,0.05272648891980719,0.02131849925312522,0.03140798966668197

112,13.0,0.05,44814,0.05228419087400837,0.020275966694559888,0.03200822417944848

113,17.0,0.05,44806,0.053902814690704445,0.02167445252178766,0.03222836216891679

114,15.0,0.05,44801,0.048788061148277266,0.01837534938847211,0.03041271175980515

115,13.0,0.05,44797,0.0483673274705967,0.018269438223189556,0.030097889247407146

116,9.0,0.05,44791,0.048870543680173816,0.01774741818079212,0.031123125499381697

117,7.0,0.05,44782,0.049130367118268285,0.018025482704888646,0.03110488441337964

118,13.0,0.05,44776,0.0479129808949532,0.017963661251180544,0.02994931964377266

119,15.0,0.05,44773,0.04880290138172697,0.01963981651188157,0.029163084869845406

120,15.0,0.05,44766,0.050015987503863615,0.018347720505560536,0.03166826699830308

121,10.0,0.05,44762,0.04722083831586852,0.018017460065007176,0.029203378250861344

122,14.0,0.05,44761,0.047230188961276474,0.01744775880443329,0.029782430156843183

123,13.0,0.05,44759,0.047083454800176096,0.017477590660973975,0.02960586413920212

124,17.0,0.05,44757,0.048754768460055393,0.01850655287901901,0.030248215581036384

125,14.0,0.05,44754,0.04394114851743117,0.01730845468425677,0.0266326938331744

126,15.0,0.05,44751,0.04540648202525971,0.01796450492989331,0.0274419770953664

127,17.0,0.05,44749,0.048773392112309404,0.019326359288033453,0.029447032824275955

128,17.0,0.05,44747,0.05013954599552308,0.02056493084397228,0.029574615151550798

129,17.0,0.05,44745,0.049136151141673516,0.020570233263695125,0.028565917877978395

130,5.0,0.05,44745,0.04672358186060007,0.021528104592293276,0.025195477268306794

131,15.0,0.05,44744,0.045113145850323645,0.019038387498373843,0.026074758351949806

132,18.0,0.05,44744,0.043868852265173716,0.018698070299619656,0.025170781965554057

133,14.0,0.05,44744,0.044314480069580164,0.018465810710327456,0.025848669359252705

134,17.0,0.05,44743,0.04389678205352993,0.01881283550069683,0.025083946552833105

135,13.0,0.05,44743,0.04014699198109991,0.019383475017069732,0.020763516964030178

136,7.0,0.05,44741,0.04168793406257269,0.01786199680107241,0.023825937261500278

137,16.0,0.05,44740,0.04145376104547569,0.018773310031595356,0.02268045101388033

138,17.0,0.05,44737,0.04349820613853277,0.0197979507867613,0.023700255351771476

139,15.0,0.05,44736,0.04554774588507619,0.02143761533171879,0.024110130553357395

140,16.0,0.05,44735,0.04243730033072445,0.019792282018633305,0.022645018312091147

141,17.0,0.05,44735,0.041271736026248465,0.01927328460589556,0.021998451420352907

142,20.0,0.05,44735,0.038964867021188176,0.016090715349318663,0.022874151671869517

143,17.0,0.05,44734,0.037361537794995986,0.015970027662364977,0.02139151013263101

144,15.0,0.05,44734,0.03788307187811082,0.0162303414213958,0.02165273045671502

145,17.0,0.05,44732,0.038508226210442295,0.016192776536367602,0.022315449674074693

146,19.0,0.05,44728,0.03897353347813807,0.015499488296707364,0.023474045181430706

147,16.0,0.05,44728,0.038967713808781924,0.015990209710891785,0.022977504097890143

148,16.0,0.05,44726,0.04338426559008295,0.018179655309935414,0.02520461028014754

149,14.0,0.05,44724,0.042297572566291,0.01835009854750853,0.023947474018782472

150,13.0,0.05,44723,0.04005964275560965,0.017802990101953485,0.02225665265365617

151,12.0,0.05,44723,0.03947776863466548,0.015925646345140532,0.02355212228952495

152,17.0,0.05,44722,0.0390519946027248,0.01479495212556697,0.024257042477157834

153,18.0,0.05,44722,0.036376332786835275,0.013144555604546424,0.02323177718228885

154,15.0,0.05,44721,0.037143945289333825,0.014384921605431105,0.022759023683902722

155,20.0,0.05,44721,0.03482884107556929,0.011645854658900716,0.023182986416668577

156,11.0,0.05,44721,0.036148685958727986,0.012987980588984897,0.02316070536974309

157,16.0,0.05,44719,0.035588479668715825,0.012500272096083993,0.02308820757263183

158,16.0,0.05,44717,0.033884782626327735,0.012394457141995729,0.02149032548433201

159,17.0,0.05,44716,0.035017745328848125,0.012117704123295504,0.02290004120555262

160,17.0,0.05,44716,0.031072078766133063,0.010620741061498217,0.020451337704634847

161,16.0,0.05,44715,0.029462882267201288,0.00957884143415065,0.019884040833050638

162,12.0,0.05,44714,0.03293528096270964,0.010045111540190183,0.022890169422519452

163,18.0,0.05,44713,0.02834878167044493,0.007502823555811646,0.020845958114633283

164,17.0,0.05,44713,0.030956492767310113,0.009519165778090633,0.02143732698921948

165,17.0,0.05,44713,0.030844617289614608,0.01014172560219092,0.02070289168742369

166,16.0,0.05,44712,0.030522048856032272,0.01058843950124777,0.019933609354784502

167,18.0,0.05,44712,0.02965463629590914,0.009347202673916241,0.020307433621992898

168,17.0,0.05,44710,0.03234816036311492,0.011894081273243375,0.020454079089871544

169,17.0,0.05,44709,0.029946300248013813,0.010642827013953138,0.019303473234060675

170,20.0,0.05,44708,0.027095735236730006,0.006792502707506877,0.020303232529223128

171,15.0,0.05,44706,0.028384635476200112,0.008809578253294561,0.01957505722290555

172,20.0,0.05,44705,0.030644660876110518,0.01153954446649246,0.019105116409618057

173,6.0,0.05,44705,0.030134611473855568,0.010002977447146531,0.020131634026709037

174,14.0,0.05,44705,0.027806962087736423,0.008456643352676312,0.01935031873506011

175,13.0,0.05,44705,0.028648629363773066,0.008431584701801472,0.020217044661971592

176,17.0,0.05,44705,0.02535259005323124,0.007193282599143201,0.018159307454088038

177,19.0,0.05,44705,0.023353225208120422,0.005572421401201565,0.017780803806918856

178,19.0,0.05,44705,0.025511602874568835,0.007293890040930591,0.018217712833638246

179,15.0,0.05,44704,0.025664584943946585,0.007051546461063842,0.018613038482882743

180,19.0,0.05,44704,0.02574852503941054,0.007549737212645546,0.018198787826764994

181,16.0,0.05,44704,0.025823459893993404,0.008407201234069147,0.017416258659924258

182,14.0,0.05,44704,0.03007136411312022,0.011151154509703205,0.018920209603417018

183,16.0,0.05,44704,0.029003854338604237,0.011472707735390648,0.01753114660321359

184,18.0,0.05,44703,0.02941571668366401,0.01001794997238277,0.01939776671128124

185,15.0,0.05,44702,0.031359822318625614,0.011952604987610275,0.019407217331015338

186,11.0,0.05,44702,0.029427975140429163,0.010737693511396683,0.018690281629032482

187,18.0,0.05,44702,0.025770307611499416,0.008969089697736406,0.01680121791376301

188,17.0,0.05,44702,0.025576296487212363,0.008090933779567051,0.01748536270764531

189,18.0,0.05,44702,0.024751592537295527,0.00763003237328483,0.017121560164010695

190,18.0,0.05,44702,0.0247837209661172,0.007912166578351318,0.01687155438776588

191,19.0,0.05,44702,0.02682937619274997,0.008441537982017822,0.01838783821073215

192,15.0,0.05,44702,0.02797056854857753,0.01104907316459705,0.016921495383980478

193,15.0,0.05,44701,0.02660379010551055,0.008898851716913478,0.017704938388597075

194,18.0,0.05,44701,0.02799210260761476,0.010001003814229126,0.01799109879338563

195,13.0,0.05,44701,0.030319943327803228,0.009912933153671219,0.02040701017413201

196,17.0,0.05,44700,0.028542583468096953,0.00995312132457196,0.018589462143524995

197,20.0,0.05,44700,0.02703119062683723,0.011224733703849897,0.015806456922987332

198,14.0,0.05,44699,0.029022542295543238,0.011402990142072042,0.017619552153471194

199,14.0,0.05,44699,0.026894452112459864,0.009928003742997292,0.01696644836946257

200,18.0,0.05,44699,0.024704983760876726,0.00845198630648281,0.016252997454393917

201,16.0,0.05,44699,0.024061871604545617,0.007560614581723768,0.016501257022821847

202,13.0,0.05,44699,0.02618590392084411,0.008797541537488131,0.01738836238335598

203,20.0,0.05,44699,0.022360882413244385,0.006339742839044693,0.01602113957419969

204,16.0,0.05,44699,0.023617769837445814,0.00716739292818094,0.016450376909264874

205,14.0,0.05,44699,0.024724038363423274,0.007804159657972323,0.01691987870545095

206,14.0,0.05,44699,0.02572840831055711,0.007861885219856124,0.017866523090700984

207,16.0,0.05,44699,0.024684648665380376,0.006979022762662857,0.017705625902717518

208,18.0,0.05,44699,0.024726808588160964,0.007353890208710282,0.01737291837945068

209,16.0,0.05,44698,0.023785036125896112,0.0066716029208515985,0.017113433205044513

210,17.0,0.05,44698,0.024267884025534436,0.006920980312019062,0.017346903713515372

211,17.0,0.05,44698,0.022621322752031662,0.006159764623257529,0.016461558128774135

212,8.0,0.05,44696,0.02585061614168649,0.007743578957654894,0.018107037184031595

213,18.0,0.05,44696,0.022611384081060507,0.006816497170721069,0.01579488691033944

214,19.0,0.05,44696,0.022740641640262363,0.005185730484737616,0.017554911155524745

215,16.0,0.05,44695,0.024064519504305205,0.006092985951515189,0.017971533552790013

